player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,news,influence_rank,creativity_rank,threat_rank,ict_index_rank
Marcos Senesi,Bournemouth,DEF,4.6,28,3,7.0,9.3,0,1,360,2,5,0,0,0,0,1,0,4,119.0,30.9,12.0,16.2,8.7,1,1.9,6.1,1027424,121408,167979,27221,0.1,-0.1,0.0,0.0,0.14,0.12,0.26,3.48,4,,15,117,210,63
Maxence Lacroix,Crystal Palace,DEF,5.0,28,6,7.0,4.0,0,1,360,3,1,0,0,0,0,1,0,2,107.6,15.4,27.0,15.0,6.7,1,1.3,5.6,377196,93348,85072,13053,0.0,0.0,0.0,0.0,0.1,0.14,0.24,4.02,4,,20,210,122,76
Robin Roefs,Sunderland,GKP,4.5,27,10,6.8,1.9,0,0,360,2,3,0,1,0,13,1,0,4,124.8,0.0,0.0,12.4,6.3,1,1.4,6.0,186666,57178,48392,6801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,4,,9,589,560,114
Micky Van de Ven,Spurs,DEF,4.7,27,14,6.8,31.0,1,0,349,3,1,0,0,0,0,1,0,2,94.2,14.8,37.0,14.6,7.0,1,1.5,5.7,993036,461618,289882,14253,0.2,-0.2,0.1,-0.1,0.68,0.02,0.7,4.68,4,,37,214,89,81
Cristian Romero,Spurs,DEF,5.0,27,12,6.8,6.2,0,1,360,3,1,0,0,0,0,1,0,3,94.2,24.3,43.0,16.1,7.0,1,1.4,5.4,357083,145041,93254,12702,0.0,0.0,0.0,0.0,0.07,0.17,0.24,4.68,4,,38,155,73,67
Nick Pope,Newcastle,GKP,5.0,26,8,6.5,6.0,0,1,360,3,3,0,0,0,8,1,0,3,73.6,0.0,0.0,7.3,5.7,0,1.1,5.2,320034,118980,30672,15686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,4,,80,675,651,206
Tino Livramento,Newcastle,DEF,5.1,25,6,6.2,9.5,0,1,360,3,3,0,0,0,0,0,0,3,55.6,50.4,14.0,12.0,5.3,0,1.0,4.9,777898,151288,56620,22474,0.1,-0.1,0.0,0.0,0.0,0.3,0.3,2.09,4,,114,73,200,119
Mohamed M.Salah,Liverpool,MID,14.5,25,9,6.2,53.7,2,1,360,2,4,0,0,0,0,0,0,2,105.4,89.5,101.0,29.6,5.7,0,0.4,1.7,836347,699376,69913,113923,0.0,0.0,0.0,0.0,1.1,0.5,1.6,3.25,4,,22,22,14,10
Martín Zubimendi,Arsenal,MID,5.4,25,16,6.2,3.1,2,0,360,3,1,0,0,0,0,1,0,3,92.4,25.9,33.0,15.1,6.7,1,1.2,4.6,219876,133960,151568,14771,-0.1,0.1,0.0,0.0,0.21,0.08,0.29,2.41,4,,44,144,98,75
Jack Grealish,Everton,MID,6.8,24,2,6.0,21.9,0,4,286,2,3,0,0,0,0,1,0,4,129.2,136.4,107.0,37.3,7.7,2,1.1,3.5,2312334,315341,189758,111948,0.3,-0.3,0.0,0.0,0.4,1.59,1.99,5.1,3,,8,7,13,5
Hugo Ekitiké,Liverpool,FWD,8.8,24,2,6.0,29.5,2,1,299,2,2,0,0,0,0,0,0,5,95.4,49.8,72.0,21.7,4.3,0,0.5,2.7,2113780,822698,82629,223466,0.3,-0.3,0.0,0.0,1.45,0.14,1.59,2.79,4,,32,75,35,29
Jaidon Anthony,Burnley,MID,5.5,24,3,6.0,1.2,2,1,352,2,6,0,0,0,0,1,0,2,115.6,42.1,96.0,25.4,7.3,1,1.3,4.4,127579,35962,34766,8252,0.0,0.0,0.0,0.0,1.7,0.39,2.09,8.23,4,,16,88,16,17
David Raya,Arsenal,GKP,5.5,24,6,6.0,23.4,0,0,360,3,1,0,0,0,11,1,0,3,95.4,10.0,0.0,10.5,4.7,1,0.9,4.4,773873,396400,60754,60918,0.0,0.0,0.0,0.0,0.0,0.02,0.02,2.41,4,,31,260,710,138
Daniel Muñoz,Crystal Palace,DEF,5.6,24,5,6.0,13.9,0,1,360,3,1,0,0,0,0,2,0,1,74.6,48.5,53.0,17.5,6.3,0,1.1,4.3,858460,233984,66791,32270,0.1,-0.1,0.0,0.0,0.17,1.02,1.19,4.02,4,,77,78,60,55
Jordan Pickford,Everton,GKP,5.5,24,6,6.0,11.6,0,0,360,2,3,0,1,0,9,0,0,3,95.0,0.0,0.0,9.5,7.3,1,1.3,4.4,287915,269363,14526,40900,0.0,0.0,0.0,0.0,0.0,0.01,0.01,6.15,4,,33,713,708,161
